Borehole,Longitude,Latitude,link,Data Contact,Country,Geothermal Gradient,Intercept
CA-081-2,-121.56,52.63,http://geothermal.earth.lsa.umich.edu/DATA/CA-081-2.html,A.M. Jessop,CA,27.221637547865146,3.487551410533967
CA-083-0,-94.2,51.0,http://geothermal.earth.lsa.umich.edu/DATA/CA-083-0.html,A.M. Jessop,CA,9.934735614238523,3.2788415530158748
CA-084-1,-85.85,49.18,http://geothermal.earth.lsa.umich.edu/DATA/CA-084-1.html,K. Wang,CA,10.352391455857353,3.36876025314455
CA-084-2,-85.81,49.19,http://geothermal.earth.lsa.umich.edu/DATA/CA-084-2.html,A.M. Jessop,CA,10.7910371347122,3.1656068805703192
CA-084-3,-85.85,49.19,http://geothermal.earth.lsa.umich.edu/DATA/CA-084-3.html,K. Wang,CA,9.50734232868995,3.6594669390110446
CA-084-4,-85.81,49.18,http://geothermal.earth.lsa.umich.edu/DATA/CA-084-4.html,K. Wang,CA,9.715195199809347,3.7518044318813866
CA-084-6,-85.85,49.18,http://geothermal.earth.lsa.umich.edu/DATA/CA-084-6.html,K. Wang,CA,9.370638984840713,3.7446934761604327
CA-084-7,-85.85,49.18,http://geothermal.earth.lsa.umich.edu/DATA/CA-084-7.html,K. Wang,CA,9.733156181873008,3.6609928308266393
CA-096-0,-64.68,48.86,http://geothermal.earth.lsa.umich.edu/DATA/CA-096-0.html,K. Wang,CA,14.574876534080495,3.861567119589269
CA-103-3,-65.53,48.95,http://geothermal.earth.lsa.umich.edu/DATA/CA-103-3.html,A.M. Jessop,CA,11.059108294880117,5.237422938225441
CA-103-5,-65.53,48.95,http://geothermal.earth.lsa.umich.edu/DATA/CA-103-5.html,A.M. Jessop,CA,9.900871670004252,5.548526197083227
CA-103-6,-65.53,48.95,http://geothermal.earth.lsa.umich.edu/DATA/CA-103-6.html,A.M. Jessop,CA,9.492091871580074,6.29646980864316
CA-104-2,-115.89,49.69,http://geothermal.earth.lsa.umich.edu/DATA/CA-104-2.html,A.M. Jessop,CA,26.559513506465628,5.605600294103802
CA-104-3,-115.94,49.68,http://geothermal.earth.lsa.umich.edu/DATA/CA-104-3.html,A.M. Jessop,CA,23.6156459550542,5.521512084248506
CA-104-9,-116.0,49.72,http://geothermal.earth.lsa.umich.edu/DATA/CA-104-9.html,A.M. Jessop,CA,21.013384670523724,24.85607747791902
CA-113-2,-56.0,48.0,http://geothermal.earth.lsa.umich.edu/DATA/CA-113-2.html,A.M. Jessop,CA,9.610612863246969,5.29584233572055
CA-115-3,-126.69,56.6,http://geothermal.earth.lsa.umich.edu/DATA/CA-115-3.html,A.M. Jessop,CA,20.23875522868603,0.4450925807599217
CA-115-8,-126.69,56.6,http://geothermal.earth.lsa.umich.edu/DATA/CA-115-8.html,A.M. Jessop,CA,19.024831791842498,0.11410485835386452
CA-117-1,-91.0,49.88,http://geothermal.earth.lsa.umich.edu/DATA/CA-117-1.html,A.M. Jessop,CA,8.397959209811782,5.242708839240278
CA-117-2,-90.88,49.88,http://geothermal.earth.lsa.umich.edu/DATA/CA-117-2.html,A.M. Jessop,CA,7.080621266300132,4.115022334743693
CA-118-0,-120.47,50.65,http://geothermal.earth.lsa.umich.edu/DATA/CA-118-0.html,A.M. Jessop,CA,30.65138814911544,8.496975603329414
CA-126-0,-85.9,50.1,http://geothermal.earth.lsa.umich.edu/DATA/CA-126-0.html,K. Wang,CA,14.020389277063929,3.4267631075424414
CA-127-1,-77.43,46.05,http://geothermal.earth.lsa.umich.edu/DATA/CA-127-1.html,A.M. Jessop,CA,8.592043691388023,7.2443936635080455
CA-127-6,-77.43,46.05,http://geothermal.earth.lsa.umich.edu/DATA/CA-127-6.html,A.M. Jessop,CA,9.248032706404684,7.107327496772795
CA-136-1,-102.04,54.64,http://geothermal.earth.lsa.umich.edu/DATA/CA-136-1.html,K. Wang,CA,12.358962496474396,1.9152198298915402
CA-136-2,-101.88,54.78,http://geothermal.earth.lsa.umich.edu/DATA/CA-136-2.html,A.M. Jessop,CA,7.3146795859882365,3.1018193328350985
CA-137-1,-99.97,54.89,http://geothermal.earth.lsa.umich.edu/DATA/CA-137-1.html,K. Wang,CA,9.930229484151905,2.2404118489280282
CA-138-0,-97.77,55.73,http://geothermal.earth.lsa.umich.edu/DATA/CA-138-0.html,K. Wang,CA,17.378629635797104,0.39527742358429496
CA-143-1,-66.67,46.93,http://geothermal.earth.lsa.umich.edu/DATA/CA-143-1.html,A.M. Jessop,CA,23.61141328778945,5.704057655999293
CA-144-0,-66.68,45.68,http://geothermal.earth.lsa.umich.edu/DATA/CA-144-0.html,K. Wang,CA,26.394494188380136,5.9711913935705905
CA-145-15,-95.85,50.25,http://geothermal.earth.lsa.umich.edu/DATA/CA-145-15.html,A.M. Jessop,CA,9.681369367288143,6.063355761115163
CA-149-1,-101.1,56.8,http://geothermal.earth.lsa.umich.edu/DATA/CA-149-1.html,K. Wang,CA,7.153914373596895,0.8866168479361385
CA-149-2,-100.95,56.9,http://geothermal.earth.lsa.umich.edu/DATA/CA-149-2.html,A.M. Jessop,CA,7.547358088684401,0.7657501507045206
CA-150-1,-101.65,56.63,http://geothermal.earth.lsa.umich.edu/DATA/CA-150-1.html,K. Wang,CA,11.469117203642945,1.3459913898435252
CA-152-1,-56.05,49.91,http://geothermal.earth.lsa.umich.edu/DATA/CA-152-1.html,K. Wang,CA,12.195036361731262,4.447940945183411
CA-152-2,-56.05,49.91,http://geothermal.earth.lsa.umich.edu/DATA/CA-152-2.html,A.M. Jessop,CA,12.340732263617864,4.348582583630904
CA-152-3,-56.08,49.9,http://geothermal.earth.lsa.umich.edu/DATA/CA-152-3.html,A.M. Jessop,CA,11.650794855990597,4.285016268777222
CA-156-0,-78.44,48.65,http://geothermal.earth.lsa.umich.edu/DATA/CA-156-0.html,K. Wang,CA,7.48024857924703,4.042867190538216
CA-162-1,-119.81,51.52,http://geothermal.earth.lsa.umich.edu/DATA/CA-162-1.html,A.M. Jessop,CA,26.118912115527806,1.1621538524758037
CA-162-2,-119.81,51.52,http://geothermal.earth.lsa.umich.edu/DATA/CA-162-2.html,A.M. Jessop,CA,26.53124798143973,1.591856991143502
CA-163-1,-125.61,49.58,http://geothermal.earth.lsa.umich.edu/DATA/CA-163-1.html,A.M. Jessop,CA,15.77483637877052,5.780600024117068
CA-164-0,-69.46,47.61,http://geothermal.earth.lsa.umich.edu/DATA/CA-164-0.html,K. Wang,CA,12.149291280857456,5.094960677068423
CA-182-0,-120.51,50.66,http://geothermal.earth.lsa.umich.edu/DATA/CA-182-0.html,A.M. Jessop,CA,33.621868034343294,8.398353375505659
CA-187-1,-124.43,54.63,http://geothermal.earth.lsa.umich.edu/DATA/CA-187-1.html,A.M. Jessop,CA,22.635632991093345,7.147737603439532
CA-187-2,-124.43,54.63,http://geothermal.earth.lsa.umich.edu/DATA/CA-187-2.html,A.M. Jessop,CA,21.272661451788206,8.438406499471927
CA-289-1,-133.75,60.99,http://geothermal.earth.lsa.umich.edu/DATA/CA-289-1.html,A.M. Jessop,CA,19.958200916177933,-0.25565648474738156
CA-289-2,-133.75,60.99,http://geothermal.earth.lsa.umich.edu/DATA/CA-289-2.html,A.M. Jessop,CA,18.303884367993042,0.702659946608048
CA-289-4,-133.75,60.99,http://geothermal.earth.lsa.umich.edu/DATA/CA-289-4.html,A.M. Jessop,CA,20.400115177708326,0.5705057074773908
CA-290-1,-129.22,62.47,http://geothermal.earth.lsa.umich.edu/DATA/CA-290-1.html,A.M. Jessop,CA,20.805827898023907,0.7420979948208739
CA-297-3,-127.33,60.35,http://geothermal.earth.lsa.umich.edu/DATA/CA-297-3.html,A.M. Jessop,CA,28.69743321133423,1.0199989367606808
CA-298-1,-95.44,50.43,http://geothermal.earth.lsa.umich.edu/DATA/CA-298-1.html,A.M. Jessop,CA,11.088445389803095,3.8914701179202673
CA-298-2,-95.42,50.42,http://geothermal.earth.lsa.umich.edu/DATA/CA-298-2.html,A.M. Jessop,CA,10.977182664676087,5.693630354160396
CA-298-3,-95.41,50.42,http://geothermal.earth.lsa.umich.edu/DATA/CA-298-3.html,A.M. Jessop,CA,8.950388026849712,6.523930961218879
CA-298-4,-95.45,50.42,http://geothermal.earth.lsa.umich.edu/DATA/CA-298-4.html,A.M. Jessop,CA,7.333063999003395,7.37458591574725
CA-402-1,-62.6,45.54,http://geothermal.earth.lsa.umich.edu/DATA/CA-402-1.html,A.M. Jessop,CA,30.958996560637466,6.28162778846913
CA-402-5,-62.63,45.63,http://geothermal.earth.lsa.umich.edu/DATA/CA-402-5.html,A.M. Jessop,CA,28.48580874564837,6.937446633895222
CA-403-0,-65.25,45.73,http://geothermal.earth.lsa.umich.edu/DATA/CA-403-0.html,A.M. Jessop,CA,13.24887432667763,6.627281674173531
CA-405-0,-66.3,47.56,http://geothermal.earth.lsa.umich.edu/DATA/CA-405-0.html,A.M. Jessop,CA,12.96298776189623,4.284476378356992
CA-407-1,-57.38,49.29,http://geothermal.earth.lsa.umich.edu/DATA/CA-407-1.html,A.M. Jessop,CA,24.974184453116685,4.71090093117048
CA-415-0,-65.88,47.72,http://geothermal.earth.lsa.umich.edu/DATA/CA-415-0.html,A.M. Jessop,CA,17.850353210076843,4.619725483061934
CA-436-1,-82.43,48.3,http://geothermal.earth.lsa.umich.edu/DATA/CA-436-1.html,K. Wang,CA,7.419635209086465,4.6008816338700385
CA-436-3,-82.43,48.3,http://geothermal.earth.lsa.umich.edu/DATA/CA-436-3.html,A.M. Jessop,CA,9.197708343446731,4.361848399943192
CA-436-4,-82.43,48.3,http://geothermal.earth.lsa.umich.edu/DATA/CA-436-4.html,K. Wang,CA,9.648814932517682,4.279623376374566
CA-437-3,-82.41,47.94,http://geothermal.earth.lsa.umich.edu/DATA/CA-437-3.html,K. Wang,CA,12.265422890423261,3.7943884367008436
CA-437-4,-82.41,47.94,http://geothermal.earth.lsa.umich.edu/DATA/CA-437-4.html,A.M. Jessop,CA,10.349245303288763,3.963489749053155
CA-438-1,-77.74,49.71,http://geothermal.earth.lsa.umich.edu/DATA/CA-438-1.html,K. Wang,CA,10.639852440472906,2.7505520326734643
CA-438-2,-77.64,49.78,http://geothermal.earth.lsa.umich.edu/DATA/CA-438-2.html,K. Wang,CA,10.053022298038982,2.7829698079049523
CA-442-18,-106.96,50.92,http://geothermal.earth.lsa.umich.edu/DATA/CA-442-18.html,A.M. Jessop,CA,26.59332260175369,5.6282120915573195
CA-442-22,-107.0,50.95,http://geothermal.earth.lsa.umich.edu/DATA/CA-442-22.html,A.M. Jessop,CA,29.352145596997953,4.780049929519108
CA-442-3,-106.86,50.88,http://geothermal.earth.lsa.umich.edu/DATA/CA-442-3.html,A.M. Jessop,CA,26.703989926796247,4.700345748620549
CA-442-6,-106.9,50.9,http://geothermal.earth.lsa.umich.edu/DATA/CA-442-6.html,K. Wang,CA,24.53910725374614,4.893226418432676
CA-655-0,-100.55,49.03,http://geothermal.earth.lsa.umich.edu/DATA/CA-655-0.html,J. Majorowicz,CA,33.26078710289239,4.593672356567097
CA-8705,-72.95,46.49,http://geothermal.earth.lsa.umich.edu/DATA/CA-8705.html,J-C Mareschal,CA,9.100000000000005,6.103
CA-8706,-79.1,48.28,http://geothermal.earth.lsa.umich.edu/DATA/CA-8706.html,J-C Mareschal,CA,6.663614163614161,4.4042836792836795
CA-8707,-79.09,48.28,http://geothermal.earth.lsa.umich.edu/DATA/CA-8707.html,J-C Mareschal,CA,7.008843148465796,4.675274124896765
CA-8708,-77.56,48.1,http://geothermal.earth.lsa.umich.edu/DATA/CA-8708.html,J-C Mareschal,CA,6.650396952814454,4.13635540643875
CA-8709,-77.56,48.1,http://geothermal.earth.lsa.umich.edu/DATA/CA-8709.html,J-C Mareschal,CA,7.710525319184292,3.956000679391184
CA-8720,-65.96,48.83,http://geothermal.earth.lsa.umich.edu/DATA/CA-8720.html,J-C Mareschal,CA,14.214069264069265,2.7922662337662345
CA-8721,-66.02,48.82,http://geothermal.earth.lsa.umich.edu/DATA/CA-8721.html,J-C Mareschal,CA,15.445849802371542,2.680273166447081
CA-8723,-66.13,48.8,http://geothermal.earth.lsa.umich.edu/DATA/CA-8723.html,J-C Mareschal,CA,16.162800060165814,2.9297351028812324
CA-8725,-66.15,48.79,http://geothermal.earth.lsa.umich.edu/DATA/CA-8725.html,J-C Mareschal,CA,14.42503067529255,2.313290288170368
CA-8736,-75.85,49.6,http://geothermal.earth.lsa.umich.edu/DATA/CA-8736.html,J-C Mareschal,CA,6.750353212115717,7.934234223957948
CA-8740,-75.87,49.62,http://geothermal.earth.lsa.umich.edu/DATA/CA-8740.html,J-C Mareschal,CA,7.952050975358065,3.225139104583304
CA-8742,-74.81,49.79,http://geothermal.earth.lsa.umich.edu/DATA/CA-8742.html,J-C Mareschal,CA,6.565781473058757,4.824962119716794
CA-8743,-74.81,49.8,http://geothermal.earth.lsa.umich.edu/DATA/CA-8743.html,J-C Mareschal,CA,7.095955398775468,4.144542174840257
CA-8744,-77.73,49.72,http://geothermal.earth.lsa.umich.edu/DATA/CA-8744.html,J-C Mareschal,CA,10.701848675433588,2.5402510641001212
CA-8745,-77.73,49.71,http://geothermal.earth.lsa.umich.edu/DATA/CA-8745.html,J-C Mareschal,CA,11.852631578947372,2.3998421052631578
CA-8746,-77.74,49.72,http://geothermal.earth.lsa.umich.edu/DATA/CA-8746.html,J-C Mareschal,CA,10.047113997114,2.958816017316018
CA-8810,-78.71,47.4,http://geothermal.earth.lsa.umich.edu/DATA/CA-8810.html,J-C Mareschal,CA,9.729414737842232,4.196436427920224
CA-8811,-78.71,47.4,http://geothermal.earth.lsa.umich.edu/DATA/CA-8811.html,J-C Mareschal,CA,8.77045638789442,4.464061360993356
CA-8812,-78.71,47.4,http://geothermal.earth.lsa.umich.edu/DATA/CA-8812.html,J-C Mareschal,CA,8.34316794375847,4.495534007935317
CA-8813,-78.71,47.4,http://geothermal.earth.lsa.umich.edu/DATA/CA-8813.html,J-C Mareschal,CA,8.91884990283675,4.403533246982995
CA-8814,-77.45,44.5,http://geothermal.earth.lsa.umich.edu/DATA/CA-8814.html,J-C Mareschal,CA,9.227313718788961,7.560077185002956
