,Borehole,Longitude,Latitudes,Data,Data Contact,Country
108,CA-117-2,-90.88,49.88,http://geothermal.earth.lsa.umich.edu/DATA/CA-117-2.html,A.M. Jessop,CA
109,CA-118-0,-120.47,50.65,http://geothermal.earth.lsa.umich.edu/DATA/CA-118-0.html,A.M. Jessop,CA
110,CA-126-0,-85.90,50.10,http://geothermal.earth.lsa.umich.edu/DATA/CA-126-0.html,K. Wang,CA
111,CA-127-1,-77.43,46.05,http://geothermal.earth.lsa.umich.edu/DATA/CA-127-1.html,A.M. Jessop,CA
112,CA-127-6,-77.43,46.05,http://geothermal.earth.lsa.umich.edu/DATA/CA-127-6.html,A.M. Jessop,CA
113,CA-136-1,-102.04,54.64,http://geothermal.earth.lsa.umich.edu/DATA/CA-136-1.html,K. Wang,CA
114,CA-136-2,-101.88,54.78,http://geothermal.earth.lsa.umich.edu/DATA/CA-136-2.html,A.M. Jessop,CA
115,CA-137-1,-99.97,54.89,http://geothermal.earth.lsa.umich.edu/DATA/CA-137-1.html,K. Wang,CA
116,CA-138-0,-97.77,55.73,http://geothermal.earth.lsa.umich.edu/DATA/CA-138-0.html,K. Wang,CA
117,CA-143-1,-66.67,46.93,http://geothermal.earth.lsa.umich.edu/DATA/CA-143-1.html,A.M. Jessop,CA
118,CA-144-0,-66.68,45.68,http://geothermal.earth.lsa.umich.edu/DATA/CA-144-0.html,K. Wang,CA
119,CA-145-15,-95.85,50.25,http://geothermal.earth.lsa.umich.edu/DATA/CA-145-15.html,A.M. Jessop,CA
120,CA-149-1,-101.10,56.80,http://geothermal.earth.lsa.umich.edu/DATA/CA-149-1.html,K. Wang,CA
121,CA-149-2,-100.95,56.90,http://geothermal.earth.lsa.umich.edu/DATA/CA-149-2.html,A.M. Jessop,CA
122,CA-150-1,-101.65,56.63,http://geothermal.earth.lsa.umich.edu/DATA/CA-150-1.html,K. Wang,CA
123,CA-152-1,-56.05,49.91,http://geothermal.earth.lsa.umich.edu/DATA/CA-152-1.html,K. Wang,CA
124,CA-152-2,-56.05,49.91,http://geothermal.earth.lsa.umich.edu/DATA/CA-152-2.html,A.M. Jessop,CA
125,CA-152-3,-56.08,49.90,http://geothermal.earth.lsa.umich.edu/DATA/CA-152-3.html,A.M. Jessop,CA
126,CA-156-0,-78.44,48.65,http://geothermal.earth.lsa.umich.edu/DATA/CA-156-0.html,K. Wang,CA
127,CA-162-1,-119.81,51.52,http://geothermal.earth.lsa.umich.edu/DATA/CA-162-1.html,A.M. Jessop,CA
128,CA-162-2,-119.81,51.52,http://geothermal.earth.lsa.umich.edu/DATA/CA-162-2.html,A.M. Jessop,CA
129,CA-163-1,-125.61,49.58,http://geothermal.earth.lsa.umich.edu/DATA/CA-163-1.html,A.M. Jessop,CA
130,CA-164-0,-69.46,47.61,http://geothermal.earth.lsa.umich.edu/DATA/CA-164-0.html,K. Wang,CA
